id,neighbourhood_cleansed,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,review_scores_rating,room_type_number
272335,Copacabana,Entire home/apt,4,1,1,1,723.0,367,4.92,0
272631,Copacabana,Private room,2,1,1,2,1146.0,32,5.0,2
273363,Santa Teresa,Private room,1,1,1,1,61.0,5,5.0,2
273496,Leblon,Entire home/apt,6,2,2,5,703.0,60,4.8,0
273753,Santa Teresa,Private room,1,1,1,1,59.0,4,4.5,2
274116,Santa Teresa,Entire home/apt,3,1,1,2,225.0,48,4.92,0
278679,Copacabana,Entire home/apt,2,1,0,1,759.0,59,4.85,0
25026,Copacabana,Entire home/apt,3,1,1,2,850.0,304,4.74,0
35764,Copacabana,Entire home/apt,2,1,1,1,324.0,498,4.91,0
49179,Copacabana,Entire home/apt,3,1,1,1,580.0,177,4.84,0
51703,Copacabana,Entire home/apt,2,1,0,1,759.0,288,4.77,0
280765,Santa Teresa,Entire home/apt,3,1,0,4,140.0,3,4.67,0
281304,Copacabana,Entire home/apt,4,1,1,1,896.0,37,4.74,0
284762,Copacabana,Entire home/apt,10,2,1,8,1200.0,10,3.8,0
285363,Copacabana,Entire home/apt,2,1,1,1,943.0,126,4.53,0
60718,Flamengo,Entire home/apt,6,2,4,4,1200.0,13,4.83,0
70080,Ipanema,Entire home/apt,5,2,1,5,1310.0,606,4.81,0
70547,Santa Teresa,Private room,2,1,1,1,223.0,94,4.92,2
286788,Copacabana,Private room,3,1,1,2,636.0,28,4.79,2
286792,Copacabana,Private room,3,0,1,2,664.0,1,5.0,2
76300,Santa Teresa,Private room,3,5,7,14,203.0,251,4.81,2
86670,Leblon,Entire home/apt,4,1,1,2,1258.0,122,4.68,0
86978,Jacarepaguá,Private room,2,2,1,2,1011.0,0,4.812309491059147,2
87762,Ipanema,Entire home/apt,4,1,1,3,671.0,174,4.71,0
88781,Copacabana,Entire home/apt,3,1,1,3,1051.0,81,4.78,0
290503,Copacabana,Entire home/apt,4,1,0,2,796.0,65,4.94,0
290513,Urca,Entire home/apt,4,1,2,3,546.0,33,4.88,0
